"Title","Grid Reference","X (Easting)","Y (Northing)","Latitude","Longitude","Postcode","Address (near)"
"429850 , 431705","SE 29850 31705","429850","431705","53.780823","-1.5484880","LS11 6TW","Disraeli Terrace, Beeston Hill, Leeds, West Yorkshire, Yorkshire and the Humber, England, LS11 6TW, United Kingdom"
"425435 , 438593","SE 25435 38593","425435","438593","53.842964","-1.6149200","LS16 6RT","Tinshill, Horsforth, Leeds, West Yorkshire, Yorkshire and the Humber, England, LS16 6RT, United Kingdom"
"435766 , 434439","SE 35766 34439","435766","434439","53.805024","-1.4583968","LS15 7HG","Cold Well Road, Whitkirk, Colton, Leeds, West Yorkshire, Yorkshire and the Humber, England, LS15 7HG, United Kingdom"
"441290 , 445718","SE 41290 45718","441290","445718","53.905984","-1.3730106","LS23","Moor End, Boston Spa, Leeds, West Yorkshire, Yorkshire and the Humber, England, LS23, United Kingdom"
"426855 , 427732","SE 26855 27732","426855","427732","53.745277","-1.5942818","LS27 8QN","Tennyson Street, Morley, Leeds, West Yorkshire, Yorkshire and the Humber, England, LS27 8QN, United Kingdom"
"442094 , 433092","SE 42094 33092","442094","433092","53.792446","-1.3624996","LS25 2JW","Woodlands Drive, Sturton Grange, Garforth, Leeds, West Yorkshire, Yorkshire and the Humber, England, LS25 2JW, United Kingdom"
"431274 , 434717","SE 31274 34717","431274","434717","53.807811","-1.5265741","LS8 5DU","Rosebud Walk, Burmantofts, Leeds, West Yorkshire, Yorkshire and the Humber, England, LS8 5DU, United Kingdom"
"433331 , 427135","SE 33331 27135","433331","427135","53.739539","-1.4961554","LS26 0SJ","Westfield Road, Howlett Cross, Carlton, Leeds, West Yorkshire, Yorkshire and the Humber, England, LS26 0SJ, United Kingdom"
"428058 , 434723","SE 28058 34723","428058","434723","53.808048","-1.5754082","LS6 1FN","IconInc - The Glassworks - Student Accommodation Leeds, 228, Cardigan Road, Hyde Park, Leeds, West Yorkshire, Yorkshire and the Humber, England, LS6 1FN, United Kingdom"
"420146 , 442486","SE 20146 42486","420146","442486","53.878184","-1.6950471","LS20","Wills Gill, Guiseley, Leeds, West Yorkshire, Yorkshire and the Humber, England, LS20, United Kingdom"
"431780 , 439112","SE 31780 39112","431780","439112","53.847281","-1.5184381","LS8 2AS","Kedleston Road, Wigton Moor, Roundhay, Leeds, West Yorkshire, Yorkshire and the Humber, England, LS8 2AS, United Kingdom"
"423535 , 434238","SE 23535 34238","423535","434238","53.803912","-1.6441273","LS13 4PS","Rycroft Avenue, Stanningley, Pudsey, Leeds, West Yorkshire, Yorkshire and the Humber, England, LS13 4PS, United Kingdom"
